,TAN_POND,NOX_POND,MICROALGAE_CHL_POND,SEDIMENT_N_POND,DON_POND,P_POND,TSS_POND
0,-0.001949877157917702,-0.001949877157917702,-3.057137993392989e-05,-0.0,-0.0009584141962646337,-0.00020604769685385208,-0.4232960298544139
1,-0.0013808604429920482,-0.0013802838927447862,-1.5460530714360267e-05,-5.938384680254921e-07,-0.0006787430248812432,-0.00013470390848830072,-0.2143305425668161
2,-0.001592147208801715,-0.0015896107690957313,-1.2976760783975493e-05,-3.696893164742795e-06,-0.0007831826898901127,-0.00014430528209725003,-0.17905686714235697
3,-0.0014466809695267324,-0.001441680885941225,-9.139968806937883e-06,-1.1543163165843783e-05,-0.0007142101230691137,-0.00012329340174682034,-0.12142633452700397
4,-0.001774687209883901,-0.0017646221586725365,-9.636623016036748e-06,-3.76869169301188e-05,-0.0008835078730332857,-0.00014497765232475041,-0.11724153251551096
5,-0.0009794966036269473,-0.0009713302454978692,-5.1450887843113185e-06,-4.549600278680486e-05,-0.0004946752252583228,-7.883296869101384e-05,-0.055161290867192986
6,-0.0007925189949912766,-0.0007833556270035222,-4.473161914845998e-06,-7.022125595673445e-05,-0.00040898955396600616,-6.509155638567031e-05,-0.04199439299354168
7,-0.00825956955399781,-0.008131884011465352,-5.389179865398377e-05,-0.001267925642080908,-0.0043930305640130975,-0.0007207881856947483,-0.4540561602613432
8,0.0028806690186770254,0.0028222215583402956,2.2936394451604337e-05,0.0007228714724096391,0.001596537264034978,0.00027981872302988535,0.17970863152977912
9,-0.00016150136737371737,-0.00015201655291607947,-5.411261145788253e-06,-0.0001870756920610445,-0.00012147205447656403,-3.893147610550632e-05,-0.03904530040987603
10,-0.00012252395400657985,-0.0001107006151723129,-6.541775856486851e-06,-0.0002683323668195105,-0.000118453075129658,-4.795053569464914e-05,-0.04706498571550041
11,-0.0001158424591075089,-0.00010040339394870133,-8.058747768936447e-06,-0.00038711455435171685,-0.00013855265876868924,-6.345670852480497e-05,-0.058191045500308396
12,0.02224839641631614,0.018492899428037415,0.0018532295681740823,0.10250459814946866,0.03198918587107074,0.015792860778474416,13.452183822938302
13,0.004439964643957071,0.0035392615007367786,0.0004235756538221952,0.026547752671672278,0.0075036098787236065,0.0038931823774474893,3.0915955049651584
14,-0.00013748772685669985,-0.00010513286256395838,-1.4628412779948866e-05,-0.001024224860203896,-0.0002681914314751369,-0.00014408923502262657,-0.1073314454794471
15,-8.47839996170847e-05,-6.222173090624494e-05,-9.887433787520651e-06,-0.0007638844724427689,-0.00018804505543352782,-0.00010364805256979892,-0.07289296152959296
16,-0.00010370507433101809,-7.309292278038039e-05,-1.3095075986742646e-05,-0.001104615938248962,-0.0002582475012892494,-0.00014512899863277368,-0.09694807851505854
17,-0.00010745723023731317,-7.27975663286229e-05,-1.455926314598806e-05,-0.0013288969148838744,-0.0002972341797011978,-0.00016957002402899084,-0.10818059714875133
18,-8.688269968466455e-05,-5.662776773939721e-05,-1.2541761827869903e-05,-0.001229209590500745,-0.00026449499090565987,-0.00015269381073649944,-0.09347704493517961
19,-0.00010569051120346671,-6.634263356354704e-05,-1.6162049055452434e-05,-0.0016897831738990354,-0.0003512929515476495,-0.00020472985620264628,-0.12076813433763162
20,-9.84840917944657e-05,-5.96010201333333e-05,-1.5877946278268424e-05,-0.0017609662985276983,-0.0003549104300846158,-0.00020840976359351484,-0.11889159967169148
21,-8.904301720662047e-05,-5.20119452405613e-05,-1.5074434351621846e-05,-0.0017648553096464678,-0.0003457888948728492,-0.00020428460388140034,-0.11305999473768456
22,-0.00011618783472436079,-6.557978961597737e-05,-2.0582686283870143e-05,-0.002533072605270967,-0.000483594324733442,-0.0002870665807124206,-0.15456432295124808
23,-0.00010358209756350183,-5.6557403922119616e-05,-1.914288818328231e-05,-0.0024673269844709246,-0.0004598650453160514,-0.0002739961618152578,-0.1438794208935295
24,-0.00011050113169381038,-5.843180837869133e-05,-2.1247648693356188e-05,-0.002858853042561235,-0.000521050814542154,-0.0003113196603391479,-0.15978861736378203
25,-0.000130930336172088,-6.71230954652174e-05,-2.6132356906217606e-05,-0.0036599086637366567,-0.0006532190601262598,-0.00039106339832848286,-0.19657594736692252
26,-0.00010923087112841091,-5.434793149770735e-05,-2.2582032296995812e-05,-0.003283600199931808,-0.0005746129489669613,-0.00034444075449284375,-0.1698699689457955
27,-9.422968339458068e-05,-4.554821746412438e-05,-2.014030717784372e-05,-0.0030335366662002945,-0.0005210530395460855,-0.00031253077806127073,-0.15146661263156017
28,-9.326700684451579e-05,-4.384090874127199e-05,-2.0574606090529615e-05,-0.003203389187395244,-0.0005405886905936522,-0.00032426259686735905,-0.15466225646464007
29,-0.00012088041006497978,-5.530672067372509e-05,-2.748026826307626e-05,-0.004414467856682835,-0.0007325410116361421,-0.00043918780508091763,-0.20643758265105727
30,-0.00010049454222739401,-4.470891500615701e-05,-2.3558534639755536e-05,-0.0038828767622570686,-0.0006342630857718258,-0.000380171760154225,-0.17612400453691776
31,-0.0001347465056042072,-5.830458449204856e-05,-3.266779710309181e-05,-0.0054914301856285284,-0.0008839036730816027,-0.0005299992634192688,-0.24185858484051878
32,-0.0001256938238914356,-5.292962399651722e-05,-3.159209448167749e-05,-0.005391403034551266,-0.0008558622515967826,-0.0005137788384643025,-0.23072465365208716
